==========================================================================================================================
1a  EXACT-DISCRETE COEFFICIENT COMPARATOR -- E5 WEIBULL DESIGN
    A = Efron + Breslow | B = Efron + cloglog profile | C = exact + cloglog profile | D = grouped joint MLE
    D_x = NLL(arm x) - NLL(arm D).  A-B is the baseline, B-C is Efron vs exact, C-D is what remains.
    shrink = slope of mean(beta_hat) on the true beta; 1.000 unbiased, < 1 attenuated.  20 reps per cell.
    true beta = [ 0.7 -0.5  0.3  0.4 -0.6]   exact budget = 8,000,000
==========================================================================================================================
    cloglog family: D_A, D_B, D_C vs the cloglog joint MLE.  logit family: D_Bl, D_Cl vs the LOGIT joint MLE --
    the exact method judged in its own metric, so that B vs C is tie handling and not link choice.
==========================================================================================================================
     shape  cens      n   T  modal  dmax       D_A       D_B       D_C      D_Bl      D_Cl  shrEfron  shrExact   shrGrp  |b|Efr  |b|Exa  |b|Grp  exactC
       1.0   40%  10000   8  0.418  2391  +0.03342  +0.00092        --  +0.01100        --     0.903        --    0.978    9.4%      --    1.8%  0/20
       1.0   40%  10000  20  0.215  1263  +0.00649  +0.00013        --  +0.00309        --     0.970        --    0.987    3.5%      --    1.8%  0/20
       1.0   40%  10000  40  0.120   702  +0.00172  -0.00003  +0.00122  +0.00051  -0.00000     1.004     1.071    1.010    0.5%    7.0%    0.9%  20/20
       1.5    0%    500   2  0.753   261  +0.25614  +0.02445  +0.06951  +0.06809  -0.00011     0.585     1.855    1.063   40.5%   88.0%    7.6%  20/20
       1.5    0%    500   4  0.489   168  +0.11666  +0.00110  +0.04650  +0.02661  -0.00012     0.832     1.422    1.016   17.0%   42.6%    1.7%  20/20
       1.5    0%    500   8  0.260    92  +0.02447  +0.00030  +0.01899  +0.01052  -0.00010     0.941     1.245    1.006    5.0%   25.6%    2.7%  20/20
       1.5    0%    500  20  0.125    44  +0.00679  -0.00100  +0.00716  -0.00081  -0.00027     0.993     1.107    1.009    2.0%   10.2%    1.7%  20/20
       1.5    0%    500  40  0.078    25  +0.01334  +0.00046  +0.00222  +0.00112  +0.00117     1.001     1.054    1.009    2.8%    6.3%    3.0%  20/20
       1.5    0%   2000   2  0.760  1062  +0.24022  +0.02569  +0.05560  +0.07038  -0.00000     0.571     1.762    1.012   42.9%   76.7%    1.7%  20/20
       1.5    0%   2000   4  0.494   696  +0.10929  +0.00645  +0.03535  +0.03498  -0.00001     0.809     1.428    0.998   18.4%   44.4%    2.5%  20/20
       1.5    0%   2000   8  0.259   362  +0.03406  -0.00046  +0.01871  +0.00938  -0.00003     0.971     1.272    1.032    2.9%   27.4%    3.4%  20/20
       1.5    0%   2000  20  0.119   171  +0.00437  -0.00027  +0.00556  +0.00046  -0.00004     0.995     1.110    1.007    1.4%   11.4%    1.2%  20/20
